Layer,Name,GEOID,Longitude,Latitude,HCSPA_2016-2018,HCSPA_2015-2017,HCSPA_2014-2016,HCSPAP_2016-2018,HCSPAP_2015-2017,HCSPAP_2014-2016,HCSS_2016-2018,HCSS_2015-2017,HCSSP_2016-2018,HCSSP_2015-2017,HCSFVP_2016-2018,HCSFVP_2015-2017,HCSFVP_2014-2016,HCSFV_2016-2018,HCSFV_2015-2017,HCSFV_2014-2016
Community area,Lake View,6,-87.656001,41.944236,11600,11600,14000,14.1,14.2,16.2,9400,14000,11.5,17.3,39.5,36.5,34.9,29500,27300,27700
Community area,Bridgeport,60,-87.648784,41.836151,5900,2800,2900,23.4,13,13.7,6200,5400,24.7,24.2,31.1,30.2,25.1,7100,5900,4600
Community area,New City,61,-87.659171,41.809017,10400,8200,8400,32,26.4,27.4,13600,13700,42.3,44.4,21.4,23.2,23,6400,6600,6300
Community area,West Elsdon,62,-87.724213,41.792977,3400,2600,2700,25.4,24.2,25.5,3900,3600,29,33.7,21.2,24,16.1,2900,2600,1700
Community area,Gage Park,63,-87.696433,41.795429,9300,10800,10400,33.8,40.3,36.3,6800,9200,24.4,33.5,22.3,19.6,16.6,6000,5100,4500
Community area,Clearing,64,-87.768517,41.779582,6100,8200,7500,28.3,35.6,35.8,8000,8100,38.8,35.3,13.2,8.5,13.4,2500,1800,2500
Community area,West Lawn,65,-87.726927,41.769774,8000,4700,4400,34.1,24.9,21,8000,4500,34.4,23.9,25.3,22.7,30.9,5700,3900,6200
Community area,Chicago Lawn,66,-87.695667,41.771849,15900,17000,14400,36.7,39.6,34.2,16500,18500,38.7,43.1,25.7,24.3,16.6,10200,9600,6400
Community area,West Englewood,67,-87.666598,41.775926,8000,6600,5200,35.5,31.3,23.2,7700,7500,36.3,35.6,18.3,21,25.5,4000,4300,5500
Community area,Englewood,68,-87.642502,41.777201,7500,6700,6400,28.1,26,22.8,9800,9300,39.1,36,24.3,25.8,22.6,5600,5900,5900
Community area,Greater Grand Crossing,69,-87.616139,41.763251,6200,5400,6500,30.5,25.9,29.7,5600,5800,27.6,27.5,26.6,31.6,26.3,4900,6100,5200
Community area,Lincoln Park,7,-87.649491,41.922696,7800,7400,5700,11.6,11.9,10.1,10200,10200,15.5,16.6,38.8,40.8,38.7,24400,23800,20200
Community area,Ashburn,70,-87.708363,41.745756,13000,11800,8600,36.7,34.5,30.3,10800,8800,30.4,25.6,21.3,25.8,24.3,7200,8500,6500
Community area,Auburn Gresham,71,-87.656305,41.744203,7700,10000,9000,24.4,32.6,31.3,11100,13000,35,42.5,19.4,20.2,16.8,5600,5600,4200
Community area,Beverly,72,-87.675072,41.713148,3000,3600,4400,16.5,20.6,21.7,2800,2900,15.5,16.3,44.8,40.1,33.6,8600,7400,7200
Community area,Washington Heights,73,-87.648897,41.717495,6600,6400,5900,33.9,30.9,30.3,7300,8600,38.1,41.4,15.5,16.3,12.9,2700,3200,2200
Community area,Mount Greenwood,74,-87.713189,41.694876,2400,2000,2900,23.6,18,22.5,2900,2600,28.3,23.6,30.5,43,44,3100,4900,5800
Community area,Morgan Park,75,-87.669062,41.689729,3500,4900,4300,20.9,34,26.2,5600,4600,34.1,32.2,28.8,33.6,36.8,3900,3800,5200
Community area,O'Hare,76,-87.893699,41.975696,1900,2500,3000,22,31,39.7,3000,1900,36.6,23.6,32.7,38.1,,2600,2700,
Community area,Edgewater,77,-87.663419,41.986719,7600,9500,10900,16.8,19.1,20.4,7400,8100,16.5,16.2,32.3,40,35.4,13000,18200,17400
Community area,Near North Side,8,-87.633318,41.899611,13800,10200,9200,18.8,14.5,12.8,11600,8900,15.8,12.5,35.3,46.6,49.8,24000,30200,32400
Community area,Edison Park,9,-87.81378,42.007627,3000,2900,,27.3,26.6,,3100,2300,28.3,21.5,39.3,28.1,31.2,4100,3000,4100
