Layer,Name,GEOID,Longitude,Latitude,HCSDIA_2016-2018,HCSDIA_2015-2017,HCSDIA_2014-2016,HCSDIAP_2016-2018,HCSDIAP_2015-2017,HCSDIAP_2014-2016,HCSHYT_2016-2018,HCSHYT_2015-2017,HCSHYT_2014-2016,HCSHYTP_2016-2018,HCSHYTP_2015-2017,HCSHYTP_2014-2016,HCSOB_2016-2018,HCSOB_2015-2017,HCSOB_2014-2016,HCSOBP_2016-2018,HCSOBP_2015-2017,HCSOBP_2014-2016
Community area,South Shore,43,-87.57279,41.761583,4400,4100,4700,12.4,10.9,12.6,13200,14400,15100,39.3,39.1,41.3,13200,11800,13000,37.4,31.3,34.9
Community area,Chatham,44,-87.615965,41.740206,4000,3900,4500,12.9,14.1,16.2,10300,8600,12000,36.5,34,46.4,12400,10900,12000,40.5,39.5,42.9
Community area,Avalon Park,45,-87.586347,41.744197,1300,1300,1300,12,14.7,18.1,4600,4000,2700,43.5,43.7,41.8,5700,5100,3200,54.4,55.7,44.4
Community area,South Chicago,46,-87.551435,41.741243,2700,2200,2800,15.7,11.3,12.7,5700,6200,7600,33.3,31.4,33.1,7900,8300,9600,45.2,43.4,43.9
Community area,Burnside,47,-87.59647,41.728181,,,,,,,1700,2000,1900,61.6,57.7,50.1,,,,,,
Community area,Calumet Heights,48,-87.57272,41.729673,1600,1800,1700,15.6,23.6,19.1,3100,3900,4800,30.2,52.3,54.7,3600,2400,2800,35,31.1,30.6
Community area,Roseland,49,-87.623366,41.706588,5500,6000,4900,17,21.7,18.8,10300,11800,11400,33.5,44.9,45.5,16800,14500,12700,52.4,52.6,48.4
Community area,North Center,5,-87.683839,41.947811,1500,,,5.9,,,5200,3500,2200,20.1,18.4,12.1,4300,3600,4600,16.6,18.1,23.1
Community area,Pullman,50,-87.598252,41.706131,600,1200,,10.7,28,,1600,2000,2000,28.1,47.3,44.3,1800,1200,1400,32.3,28.3,30.9
Community area,South Deering,51,-87.570058,41.690639,3200,2700,2500,19.7,19.3,20.3,8000,6700,5600,46.1,45.6,44.4,6700,5900,3900,40.8,42.4,31.9
Community area,East Side,52,-87.534907,41.707306,,1600,1600,,10.4,9.6,1500,2300,4100,12.7,17.5,28.9,4500,5600,7100,31,35.5,43.3
Community area,West Pullman,53,-87.635745,41.67382,2800,2400,2700,12.5,10.3,12.2,5800,7700,8700,28,35.8,42.6,10200,12500,11400,45,53.4,51.5
Community area,Riverdale,54,-87.602849,41.660137,,,,,,,,1100,3300,,18.8,36.7,700,1400,2000,24.1,24.2,23.7
Community area,Hegewisch,55,-87.556803,41.668188,1400,1200,,15.5,14.4,,3100,2100,,33.5,26.9,,4600,3800,2100,49.9,47.6,39.6
Community area,Garfield Ridge,56,-87.764246,41.796185,4300,5000,5500,18.5,20,21.8,6400,9700,9300,32.3,43.5,40.6,8700,10200,10600,37.3,41.7,42.8
Community area,Archer Heights,57,-87.726365,41.810873,,1900,,,24.5,,2300,1100,2000,33.7,16.4,21,4100,4500,4000,55.4,59.5,39.5
Community area,Brighton Park,58,-87.698859,41.817364,3700,1900,2500,11.1,6.2,8.6,4300,4700,7100,15.8,18.9,31,10800,11300,11400,32.9,36.4,39.1
Community area,McKinley Park,59,-87.6725,41.829927,,,,,,,3600,4400,3300,32.7,30,20,2400,3400,4100,20.1,23.5,25.9
Community area,Lake View,6,-87.656001,41.944236,5400,4900,6000,6.6,6,7,22800,20200,19900,30.7,27.1,25.2,14600,13700,15400,17.8,16.8,17.7
Community area,Bridgeport,60,-87.648784,41.836151,2500,3200,4000,9.8,14.4,19,7500,7600,8500,32.7,39.2,46.3,5400,7400,7800,21.3,33.7,37
Community area,New City,61,-87.659171,41.809017,4700,3600,3200,14.5,11.5,10.4,7000,7500,6700,23.1,26.1,23.3,12600,9600,9100,38.9,30.9,29.6
Community area,West Elsdon,62,-87.724213,41.792977,,,,,,,3300,1800,,23.3,16.2,,5600,4200,3600,41.6,39.1,34
Community area,Gage Park,63,-87.696433,41.795429,2700,2100,,9.4,7.6,,4700,5100,2800,17.6,19.6,10.3,10200,6200,7000,36.3,22.8,24.5
Community area,Clearing,64,-87.768517,41.779582,2600,1800,900,12.1,7.9,4.4,5600,5900,5100,28.7,28.1,27.7,6700,8000,7900,31.2,34.9,37.9
Community area,West Lawn,65,-87.726927,41.769774,3100,2500,2600,13,13.5,12.2,4000,2800,2000,17.7,16.7,9.9,6800,5600,4600,28.9,29.7,21.8
Community area,Chicago Lawn,66,-87.695667,41.771849,7300,7900,7300,16.8,18.5,17.4,11000,12600,12000,27.7,32.1,30.9,17600,17800,16600,40.5,41.6,39.5
Community area,West Englewood,67,-87.666598,41.775926,2700,3000,3000,12.1,14.4,13.4,9000,9700,12000,41.4,47.7,54.3,11400,10700,10300,51,50.7,45.5
