Layer,Name,GEOID,Longitude,Latitude,EDX_2016-2020,EDX_2015-2019,EDX_2014-2018,PCI_2016-2020,PCI_2015-2019,PCI_2014-2018,PCI_2013-2017,PCI_2012-2016,PCI_2011-2015,PCI_2010-2014,PCI-W_2016-2020,PCI-W_2015-2019,PCI-W_2014-2018,PCI-W_2013-2017,PCI-W_2012-2016,PCI-W_2011-2015,PCI-W_2010-2014,PCI-B_2016-2020,PCI-B_2015-2019,PCI-B_2014-2018,PCI-B_2013-2017,PCI-B_2012-2016,PCI-B_2011-2015,PCI-B_2010-2014,PCI-A_2016-2020,PCI-A_2015-2019,PCI-A_2014-2018,PCI-A_2013-2017,PCI-A_2012-2016,PCI-A_2011-2015,PCI-A_2010-2014,PCI-H_2016-2020,PCI-H_2015-2019,PCI-H_2014-2018,PCI-H_2013-2017,PCI-H_2012-2016,PCI-H_2011-2015,PCI-H_2010-2014,PCI-P_2016-2020,POV_2016-2020,POV_2015-2019,POV_2014-2018,POV_2013-2017,POV_2012-2016,POV_2011-2015,POV_2010-2014
Community area,Burnside,47,-87.59647,41.728181,0.77139898,0.800342341,0.799146161,28026.86606,21203.63901,20241.73602,19621.66852,17738.49409,16320.46349,17002.59444,43770.52799,52307.94883,49242.87325,55121.59376,30549.19475,33871.07356,30435.19471,27239.47813,21079.56882,20124.82796,19493.48035,17686.89231,16327.67241,17007.38036,2833.981355,,,,,,,31420.19001,19766.43581,31548.34113,6024.978371,6303.730518,35143.94281,37273.61889,,11.67318501,15.70858549,17.73292642,17.58174188,32.75157573,35.70077301,31.92436118
Community area,Calumet Heights,48,-87.57272,41.729673,0.721330899,0.806259733,0.79287617,37839.60459,30876.24945,29621.19837,29964.52641,27494.90513,29197.73303,30458.54083,29828.20583,34215.87064,32935.64492,49387.32315,47440.89825,79230.79305,70073.3369,38204.90083,31345.04428,29933.08228,30300.71521,28015.37139,28624.62096,30623.16063,46962.51736,,,,,,,30415.74008,26824.53391,27742.51437,23681.06656,19693.15962,20340.03847,13754.29495,,14.36655663,15.66590332,15.47106482,16.62662739,17.11660554,12.56484593,15.44565284
Community area,Roseland,49,-87.623366,41.706588,0.789210036,0.802179216,0.792419279,21959.07287,23257.05938,23062.50663,22310.14678,22066.31923,21898.62024,20112.03455,16404.96893,23189.36929,19041.22356,17575.61163,26283.16124,18662.9161,19544.8896,22026.60743,23182.91708,22562.36209,21834.053,21511.3537,21518.02943,19622.76889,2833.981355,2757.652859,10541.04581,24637.75124,23823.8628,22223.77345,22373.21482,15289.77559,14787.17359,18695.76395,38632.33872,50409.69878,47548.20998,13633.15829,,23.12493051,23.40932363,26.19737367,25.85846527,28.45735213,25.72711764,24.85331775
Community area,North Center,5,-87.683839,41.947811,0.352163734,0.401883116,0.460133253,82465.61551,77989.28384,76270.63838,70501.13247,67112.19857,66569.66263,64905.32301,91085.07301,84741.43394,83765.56106,78640.30734,74973.93687,74171.52907,73125.64075,60071.22938,57733.32647,49577.29762,48599.14049,47734.62024,42204.76895,39726.56928,110893.8417,100045.6822,93808.17225,87107.47442,78606.78882,73762.15273,48539.74174,47064.11825,40603.71865,37624.67333,37726.48478,35661.31871,33802.31895,31392.71761,,4.40499407,5.289348181,4.710777089,5.139853649,5.598288124,6.160971748,6.332111297
Community area,Pullman,50,-87.598252,41.706131,0.797432642,0.801515714,0.797170368,30427.77363,26566.81705,26027.45675,25169.95078,23466.60161,23574.55561,22403.80752,40965.25792,39260.30717,42655.08472,46495.98725,42713.56882,36377.83841,35411.76049,30147.17613,26994.96162,25691.43321,24637.95452,22944.09168,23864.51387,22493.32557,40702.2536,44702.79962,80110.79106,39774.61789,,,,18253.47721,15395.98631,18277.8117,15569.11202,16103.18908,17558.7166,20799.21688,,16.83862513,19.74318662,22.82699763,22.35138127,25.49383986,25.38529926,28.13637135
Community area,South Deering,51,-87.570058,41.690639,0.767837275,0.753443548,0.757024146,20297.73788,19130.1893,18683.00336,14601.75151,14296.06431,14070.31324,14760.67964,33816.03857,34622.54694,31101.0486,29755.98006,26085.29918,23525.2506,24191.70278,21108.40947,20946.88587,19864.86069,17659.10299,17757.90839,17482.64985,17828.48717,,44702.79962,80110.79106,39774.61789,,,,17178.85495,16180.58403,17209.69523,17821.77839,16733.66774,19201.03338,16761.79592,55689.99955,33.13797472,38.26963916,38.33369988,42.99485972,42.26336544,42.00397759,38.11220724
Community area,East Side,52,-87.534907,41.707306,0.785329334,0.767722986,0.761571879,23029.45276,19676.08067,18631.05886,18176.78098,18211.8122,17963.05297,17576.40645,39292.71995,38170.66484,34559.38828,32187.32884,32253.69369,30238.28833,29366.12049,20731.78766,19358.67104,16977.66739,14980.88002,13702.42279,10265.70064,20806.9167,,,,,,,,20531.52004,18412.07142,17543.86168,17597.54581,18336.6569,17886.78408,17874.31761,31656.7774,15.33599912,17.91975221,17.67641378,20.11228704,23.24857445,24.78025727,27.13734872
Community area,West Pullman,53,-87.635745,41.67382,0.797905905,0.807202337,0.808704714,23726.97488,23468.29952,21509.09675,20546.35235,19913.72255,19217.22355,19120.12715,30233.97085,30591.33276,10498.3108,10422.76063,10992.44183,14230.14165,50354.04587,24109.26755,23422.1149,21563.83947,20387.64799,19668.3925,19242.14309,19052.53756,,,10521.14534,24633.42133,23823.8628,28477.88783,6548.547137,19252.7616,18179.42685,18096.85478,17055.23889,16488.96362,14019.83427,13285.65142,,22.15779667,22.40858195,25.62955689,27.95027194,29.86636677,33.10958104,33.84346289
Community area,Riverdale,54,-87.602849,41.660137,0.677960112,0.620560615,0.605234966,15010.7605,12844.3794,12476.37582,10867.43159,9862.316966,8128.235821,8820.948313,37886.6399,38241.93315,40345.83707,37987.65204,37729.59645,37505.02117,14820.79031,13247.6544,10405.89002,9929.437429,8927.484827,7751.106326,7943.089542,8490.955037,48555.62823,44702.79962,80110.79106,39774.61789,,,,22007.89329,9196.194991,6018.717285,12256.02802,11198.38253,10742.67065,11362.02174,,47.72375855,53.85968225,59.1787083,62.82495694,65.54073478,62.99294234,61.60927139
Community area,Hegewisch,55,-87.556803,41.668188,0.814266513,0.790605867,0.769425909,29245.833,28676.73891,29342.59956,30441.34295,31995.77914,29201.66074,27884.55809,32118.22102,30785.15905,30243.30983,31638.98654,33255.83234,33411.25198,34924.44808,14867.43704,37309.53862,30960.065,41099.1245,34525.35682,28486.77084,14102.31387,,,,,,,29810.36485,29100.07087,26526.21957,27790.71317,29209.12336,30853.65748,24519.57767,22162.34971,10803.69761,15.62056808,16.79079736,17.55508549,14.7163772,14.68366484,16.15596328,15.65938386
