Layer,Name,GEOID,Longitude,Latitude,VRLE_2020,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,VRLE_2014,POP_2016-2020,POP_2015-2019,POP_2014-2018,POP_2013-2017,POP_2012-2016,POP_2011-2015,POP_2010-2014,POP-M_2016-2020,POP-F_2016-2020,POP-W_2016-2020,POP-W_2015-2019,POP-W_2014-2018,POP-W_2013-2017,POP-W_2012-2016,POP-W_2011-2015,POP-B_2016-2020,POP-B_2015-2019,POP-B_2014-2018,POP-B_2013-2017,POP-B_2012-2016,POP-B_2011-2015,POP-A_2016-2020,POP-A_2015-2019,POP-A_2014-2018,POP-A_2013-2017,POP-A_2012-2016,POP-A_2011-2015,POP-H_2016-2020,POP-H_2015-2019,POP-H_2014-2018,POP-H_2013-2017,POP-H_2012-2016,POP-H_2011-2015,POP-P_2016-2020,POP-P_2015-2019,POP-Q_2016-2020,POP-Q_2015-2019
Community area,Portage Park,15,-87.76340100,41.95404300,78.132695208,80.616574374,80.85013908,80.1099,80.029,79.5,80.1,63936.2616171358,64579.129015,64936.447877,64289.223381,64499.03972,64823.831467,64404.817509,30996.2515994597,32940.0100176761,30052.704250507,30290.500911,31832.08705,32325.817809,31774.99505,32638.916324,1048.51948796826,1127.910507,1096.848464,1080.681248,1011.739526,947.017208,3800.96582610199,3607.148403,3666.04969,3307.290206,2989.568187,2981.497772,27176.3777809628,27983.325671,26974.995651,26193.185249,27552.370222,27087.308211,106.033671786872,123.020944143403,1304.70519359944,1374.9755585482
Community area,Irving Park,16,-87.72345700,41.95358900,78.094538584,79.272994681,79.51555799,79.7732,79.3258,79.6,80.0,53573.6143138466,53468.353559,53601.709402,54541.446818,55354.001592,56454.900056,56426.675816,26267.6399467875,27305.9743670591,23569.3841247175,22872.095525,23008.260725,22755.499181,22943.221083,22616.474149,1465.19777522862,1912.934213,1745.622452,1635.135618,1697.74258,1488.81373,4609.92814761833,4613.525033,4510.9108,4869.189667,4667.311117,4690.157191,22052.4639707648,22403.373073,22620.524232,23680.601373,24711.759491,26337.046602,60.9423601209997,52.955085251995,1690.712904653,1778.17477438828
Community area,Dunning,17,-87.80601500,41.94652200,78.574917846,79.809719713,79.51904778,79.739,79.4437,80.1,80.6,43559.4777194772,43400.977557,43990.581262,43644.333662,43399.791442,42981.778368,43010.323684,21463.3425551173,22096.1351643599,26007.9625498242,27051.660841,27131.329867,28135.308475,27832.728177,28310.879525,908.936558198195,1008.042803,1213.50373,938.465284,964.321007,1068.594921,2207.39898330499,2593.98689,2604.767475,2243.114876,1797.877881,1845.795015,13999.4602769727,12842.49405,13091.231502,12232.776275,12547.364321,11437.978758,0.00454872778884526,0.00919768297237771,422.699896040426,267.822594166404
Community area,Montclare,18,-87.79803300,41.92930600,75.772162215,77.097372941,77.73628895,78.301,76.9961,77.1,79.1,14391.6904636213,14305.195008,13851.247331,13824.269751,13034.140034,13014.089019,12881.822657,6713.75587237619,7677.93459124511,5209.6240181948,4504.450563,4155.081485,4533.807627,4049.602672,3633.730389,453.042981798819,393.251001,487.88285,558.165781,658.102012,686.467813,364.947829358405,459.224157,455.69346,445.940453,520.504315,612.450225,8005.11339751267,8565.617028,8480.129192,8078.978486,7599.45778,8104.562129,69.9458405439574,83.9714857304776,259.055561060172,265.483771051047
Community area,Belmont Cragin,19,-87.76550200,41.92727500,75.421250723,79.236140785,79.94237057,79.7362,79.6976,80.6,81.3,78828.9567880327,78649.247667,80741.164598,79996.033192,78199.182279,79250.630701,79116.531668,39215.9421083165,39613.0146797162,11274.6526411497,10426.047228,10420.714286,10775.67475,10890.77753,11313.193128,1990.54085423772,2726.635778,2555.394876,2620.223639,2581.32978,2918.620198,1733.62230146619,1615.996397,1576.297867,1662.540419,1392.028955,1219.46986,62915.5176141287,63789.799438,66123.344618,64776.611357,62944.302176,63343.379954,8.07490182393782,38.0664459100097,640.551571127608,586.922548655867
Community area,West Ridge,2,-87.69501700,42.00158300,78.064218221,80.429572329,80.05339396,79.8056,79.205,79.1,80.0,78771.6989300516,78444.202314,77194.756599,76199.370679,73710.156217,72200.567193,73004.570555,39094.0644828407,39677.6344472108,33131.1564687756,31831.862586,32195.104428,32167.078088,31803.542567,31975.449915,9164.74247378511,9231.297413,10394.45085,9270.477204,8986.34101,8374.807582,16565.5836148281,18772.187094,17032.35874,17340.774341,16753.624219,16983.653465,15507.5702190933,14823.143375,14168.232614,14245.369971,13356.474272,12663.184912,304.010290352499,211.018237467998,3858.6639962666,3646.14611472337
Community area,Hermosa,20,-87.73474100,41.92435300,75.821513219,79.503439704,78.7599166,79.612,80.7907,81.2,81.6,23226.5822363072,23534.165997,23543.647912,24202.821747,24508.239505,25548.263175,24900.354892,11835.9807751513,11390.6014611559,2298.56503166745,2519.374239,2371.62778,2208.986564,1904.349989,1883.959438,1048.37496837408,1360.270842,1172.647975,1062.367284,771.416385,612.228438,543.368056410985,578.730015,555.006467,499.982047,437.677513,408.303416,19166.9552746829,19406.326692,19662.510738,20517.259949,21368.349897,22540.462217,3.99890531381264,15.9943347429556,161.305665274633,120.433893669566
Community area,Avondale,21,-87.71121900,41.93867300,80.505784026,82.160594481,81.73388088,81.0704,80.4677,80.6,79.7,37347.3607940333,38127.175225,37918.914545,37378.688371,38201.627637,39730.658564,39125.288218,18364.7077866208,18982.6530074125,13297.689622865,13239.0205,13179.671629,12848.535079,11905.497742,12333.607231,805.293994008379,982.094478,928.308979,922.85672,938.303187,970.952202,1681.91399290984,1624.026492,1437.310184,1547.593837,1361.140564,1299.046972,20137.2664841433,21473.707819,21656.077961,21494.146841,23369.255683,24564.67588,35.0039518182399,15.001543922364,1219.26611936093,810.923726984582
Community area,Logan Square,22,-87.69914900,41.92276800,78.100890347,81.303544922,81.78828538,81.1209,80.3362,80.2,80.1,71492.0165327966,72410.235757,72820.163259,73056.092852,73739.376296,73641.933653,73131.824651,35522.9461344373,35969.0703983593,36865.6363294766,36232.995766,34897.426153,33486.010882,32648.572224,32094.877304,3233.08623311008,3494.674164,4183.884405,4268.424996,4086.094681,4072.653482,3029.76944173567,2920.260726,2595.367403,2548.336882,2392.807049,2193.950032,26024.5834012956,28415.603772,30280.764595,31878.592567,33813.487357,34610.595398,14.0008305328903,23.9981478792418,2287.88415446129,1934.38377129171
Community area,Humboldt Park,23,-87.72091700,41.90008000,71.189410178,73.683279119,73.70271262,74.6697,74.694,75.6,76.3,54032.2742847737,55049.319577,55842.0467,56107.455438,55934.001968,54701.859497,54200.169651,25696.7624959017,28335.5117888721,4877.22333575884,4261.123591,4007.505176,3480.128635,3258.180916,2958.027535,17901.0452933906,18275.681944,18960.578144,20126.047958,21198.734601,22983.823136,316.147910952528,392.897988,482.089259,391.300602,311.226456,275.717008,29926.1962873405,32103.374624,31871.255764,31484.54829,30670.095112,28450.901558,65.8778171269477,86.7175932302255,742.173278337424,461.537250036045
Community area,West Town,24,-87.67635800,41.90121600,79.330090956,81.070150958,80.5592539,79.9984,80.636,80.2,79.5,84557.4021273647,84714.808339,84253.740657,84591.150144,85415.813293,86578.276671,85335.276925,42792.7734457827,41764.6286815819,53470.2360593518,53903.292512,52835.640176,51623.001821,50486.757722,50628.357285,5279.33385155664,6244.417496,6394.675859,6272.989224,7127.278744,7042.794382,4663.21253632334,4375.234653,4250.953434,3885.091781,3523.561267,3581.896078,17690.2602753571,18644.270197,19046.565274,21158.373917,22549.976449,23325.150574,0.0919920592683983,31.0827928533416,3124.23063962645,2019.12437058416
Community area,Austin,25,-87.76311700,41.89411300,68.692517494,71.012466422,70.66226144,70.1267,70.7371,72.2,73.5,95279.3243802393,93940.666333,94982.423417,95472.013144,97816.013543,97850.873958,99911.657674,44456.4198738937,50822.9045063455,5038.8698506835,5298.761702,4572.451693,4412.220544,4414.518067,4360.33446,71981.5409146637,73407.578404,75488.326137,77460.265218,80327.403418,81689.211354,355.69880545581,467.562227,524.76946,483.381922,474.709857,466.572227,16368.6795033297,14291.528315,13794.420286,12559.444117,12416.71683,11272.502387,99.313950105452,64.4132206114916,1203.63922995938,720.089914631896
Community area,West Garfield Park,26,-87.73023300,41.87860200,67.524358853,69.05180762,68.11950978,68.4772,69.5275,70.5,70.8,16479.720265765,16414.888906,16943.82165,17158.372981,17494.115984,17737.325899,18888.173857,8366.96840159087,8112.7518641741,455.80357773816,406.818307,357.622461,384.083032,277.663406,315.27093,15226.4205513912,15304.68316,15914.246662,16226.925671,16718.457254,16982.428929,3.04307927787783,0.118413,55.064188,44.019973,33.020795,61.020846,576.670728559385,489.974149,451.527272,360.501642,366.818707,356.484855,16.9077323527832,12.9294423874224,200.787783525961,212.764350283608
