Layer,Name,GEOID,Longitude,Latitude,VRCHD_2015-2019,VRCHD_2014-2018,VRCHD_2013-2017,VRCHD_2012-2016,VRCHD_2011-2015,VRCHD_2010-2014,VRCHDR_2015-2019,VRCHDR_2014-2018,VRCHDR_2013-2017,VRCHDR_2012-2016,VRCHDR_2011-2015,VRCHDR_2010-2014,VRDIA_2015-2019,VRDIA_2014-2018,VRDIA_2013-2017,VRDIA_2012-2016,VRDIA_2011-2015,VRDIA_2010-2014,VRDIAR_2015-2019,VRDIAR_2014-2018,VRDIAR_2013-2017,VRDIAR_2012-2016,VRDIAR_2011-2015,VRDIAR_2010-2014,VRDIB_2015-2019,VRDIB_2014-2018,VRDIB_2013-2017,VRDIB_2012-2016,VRDIB_2011-2015,VRDIB_2010-2014,VRDIBR_2015-2019,VRDIBR_2014-2018,VRDIBR_2013-2017,VRDIBR_2012-2016,VRDIBR_2011-2015,VRDIBR_2010-2014,VRHD_2015-2019,VRHD_2014-2018,VRHD_2013-2017,VRHD_2012-2016,VRHD_2011-2015,VRHD_2010-2014,VRHDR_2015-2019,VRHDR_2014-2018,VRHDR_2013-2017,VRHDR_2012-2016,VRHDR_2011-2015,VRHDR_2010-2014
Community area,Portage Park,15,-87.76340100,41.95404300,334.0,341.0,366.0,383.0,421.0,428.0,113.9,115.8,118.1,123.9,136.3,139.2,74.0,75.0,73.0,68.0,67.0,59.0,24.2,25.1,24.7,22.9,22.9,19.8,144.0,147.0,150.0,147.0,145.0,147.0,47.3,48.3,50.4,48.7,48.4,48.4,571.0,575.0,590.0,603.0,641.0,642.0,193.5,193.7,188.1,193.1,206.0,207.7
Community area,Irving Park,16,-87.72345700,41.95358900,172.0,195.0,212.0,245.0,257.0,261.0,88.8,100.2,112.3,127.2,132.2,133.4,53.0,48.0,45.0,46.0,41.0,40.0,25.0,22.6,21.3,21.6,19.5,19.5,105.0,107.0,100.0,110.0,110.0,121.0,50.8,51.8,49.2,54.7,55.0,61.0,342.0,365.0,374.0,397.0,402.0,392.0,171.9,183.2,194.7,205.8,206.6,199.4
Community area,Dunning,17,-87.80601500,41.94652200,323.0,342.0,347.0,356.0,380.0,387.0,127.6,134.8,122.7,125.3,133.0,136.8,42.0,38.0,46.0,44.0,53.0,53.0,16.2,14.7,16.9,16.4,19.3,19.4,121.0,123.0,146.0,136.0,152.0,146.0,47.3,47.9,54.1,50.1,55.8,54.1,559.0,565.0,557.0,554.0,571.0,548.0,220.9,223.2,196.8,196.1,201.1,194.1
Community area,Montclare,18,-87.79803300,41.92930600,120.0,120.0,111.0,111.0,116.0,106.0,175.4,175.0,146.0,149.6,154.5,140.2,14.0,14.0,17.0,16.0,17.0,22.0,20.9,20.8,24.5,21.7,23.3,30.3,40.0,45.0,45.0,47.0,51.0,53.0,59.0,66.0,64.0,66.6,73.0,75.2,190.0,182.0,172.0,169.0,177.0,158.0,277.4,265.8,228.4,226.1,235.2,208.8
Community area,Belmont Cragin,19,-87.76550200,41.92727500,310.0,314.0,303.0,299.0,316.0,333.0,120.6,121.7,121.4,118.7,125.6,133.5,71.0,61.0,62.0,64.0,62.0,54.0,27.5,23.9,25.5,26.2,25.2,22.8,162.0,147.0,152.0,160.0,163.0,157.0,61.1,55.9,60.6,64.8,66.8,65.5,522.0,506.0,493.0,478.0,475.0,488.0,201.3,194.9,197.3,191.4,189.4,194.9
Community area,West Ridge,2,-87.69501700,42.00158300,355.0,375.0,257.0,359.0,445.0,444.0,104.7,111.0,71.0,98.3,121.3,120.0,103.0,96.0,56.0,75.0,88.0,85.0,29.7,27.4,15.8,21.0,24.5,23.4,214.0,208.0,132.0,184.0,235.0,225.0,61.9,60.1,36.8,51.4,65.0,62.3,632.0,644.0,417.0,567.0,712.0,696.0,185.6,190.0,112.8,152.8,192.1,186.9
Community area,Hermosa,20,-87.73474100,41.92435300,60.0,59.0,60.0,60.0,65.0,63.0,84.7,83.9,96.0,90.9,95.5,92.3,16.0,14.0,17.0,18.0,15.0,17.0,18.8,18.7,23.9,25.3,22.0,24.0,48.0,41.0,44.0,47.0,46.0,45.0,61.2,54.5,63.2,64.4,63.5,61.8,127.0,115.0,111.0,105.0,110.0,99.0,173.0,159.5,172.1,155.3,159.6,144.3
Community area,Avondale,21,-87.71121900,41.93867300,114.0,120.0,128.0,133.0,137.0,147.0,87.5,91.8,102.6,104.2,107.0,117.4,26.0,24.0,26.0,26.0,25.0,24.0,20.5,18.8,20.9,21.0,20.2,19.6,63.0,57.0,70.0,69.0,67.0,65.0,47.6,41.8,52.9,53.6,52.2,51.9,208.0,216.0,227.0,236.0,239.0,242.0,159.6,163.5,178.9,182.8,185.2,191.6
Community area,Logan Square,22,-87.69914900,41.92276800,164.0,176.0,185.0,209.0,221.0,235.0,85.1,92.0,103.5,118.4,126.1,133.8,53.0,64.0,66.0,70.0,76.0,68.0,27.5,33.6,35.3,38.2,40.9,34.8,137.0,153.0,162.0,168.0,177.0,170.0,70.7,80.5,87.9,92.0,95.7,92.4,293.0,301.0,310.0,330.0,339.0,355.0,148.1,153.8,170.1,184.0,189.6,199.6
Community area,Humboldt Park,23,-87.72091700,41.90008000,223.0,225.0,212.0,237.0,244.0,239.0,116.0,117.9,134.3,147.8,156.0,150.0,62.0,59.0,52.0,44.0,49.0,60.0,32.4,30.6,29.0,23.3,26.3,33.8,164.0,166.0,164.0,167.0,176.0,189.0,85.0,84.5,94.2,93.0,97.0,105.5,447.0,441.0,410.0,431.0,435.0,411.0,226.7,223.7,245.0,256.7,265.5,246.0
Community area,West Town,24,-87.67635800,41.90121600,224.0,247.0,263.0,273.0,274.0,282.0,103.9,115.0,121.7,126.3,125.7,128.3,44.0,42.0,44.0,51.0,60.0,74.0,19.2,18.2,19.3,22.5,27.2,32.6,140.0,143.0,149.0,160.0,171.0,185.0,62.6,64.0,67.9,72.9,78.3,83.7,409.0,429.0,437.0,440.0,440.0,432.0,184.0,194.7,197.6,199.4,199.5,195.0
Community area,Austin,25,-87.76311700,41.89411300,531.0,543.0,536.0,553.0,560.0,593.0,115.3,116.6,126.0,129.0,131.6,139.4,174.0,184.0,168.0,152.0,146.0,135.0,38.4,40.8,38.2,33.3,31.9,30.1,451.0,468.0,440.0,405.0,399.0,403.0,97.5,101.4,100.6,91.8,91.1,92.9,1167.0,1163.0,1135.0,1124.0,1108.0,1130.0,250.9,248.5,264.2,261.0,257.9,265.8
Community area,West Garfield Park,26,-87.73023300,41.87860200,84.0,87.0,90.0,98.0,105.0,119.0,107.5,111.0,119.9,129.9,138.1,158.4,29.0,28.0,33.0,30.0,25.0,21.0,36.0,34.9,41.2,37.8,31.5,26.5,82.0,84.0,88.0,81.0,77.0,72.0,104.1,105.7,114.1,106.6,100.1,92.3,227.0,220.0,218.0,212.0,205.0,208.0,289.0,279.5,289.3,279.3,269.8,274.4
Community area,East Garfield Park,27,-87.70589200,41.87892300,87.0,99.0,103.0,114.0,111.0,114.0,109.4,124.9,128.0,140.4,136.5,140.4,35.0,30.0,27.0,25.0,25.0,24.0,43.3,37.1,34.5,29.6,28.5,28.7,80.0,73.0,67.0,69.0,70.0,77.0,97.3,89.9,82.9,82.3,83.9,93.7,240.0,240.0,249.0,250.0,235.0,235.0,300.6,301.4,309.4,307.5,285.5,283.5
Community area,Near West Side,28,-87.66351300,41.87401600,163.0,160.0,159.0,159.0,151.0,176.0,104.8,102.8,107.5,107.0,100.4,115.5,54.0,51.0,50.0,46.0,38.0,34.0,35.3,32.7,32.4,30.1,25.0,22.4,123.0,125.0,130.0,129.0,114.0,111.0,76.6,77.9,83.2,82.2,72.9,71.4,380.0,364.0,346.0,336.0,314.0,334.0,236.0,225.1,222.7,215.1,199.6,214.9
Community area,North Lawndale,29,-87.71721800,41.86019700,139.0,149.0,159.0,156.0,171.0,179.0,98.6,106.3,112.5,110.1,121.1,126.6,48.0,50.0,51.0,47.0,45.0,46.0,34.8,36.3,36.3,33.6,31.8,32.5,119.0,125.0,126.0,120.0,120.0,114.0,85.3,89.4,88.8,84.9,84.3,79.6,382.0,382.0,365.0,348.0,353.0,365.0,267.0,266.5,251.7,239.6,243.7,252.0
Community area,Uptown,3,-87.65589900,41.96582200,344.0,368.0,254.0,357.0,463.0,489.0,139.6,149.2,96.4,134.6,174.3,184.4,80.0,83.0,41.0,66.0,83.0,90.0,31.7,32.8,16.3,26.2,32.6,34.8,190.0,193.0,118.0,169.0,212.0,223.0,75.2,76.0,46.3,66.3,82.6,86.6,677.0,646.0,418.0,555.0,701.0,706.0,271.1,257.8,156.6,207.7,261.8,264.0
Community area,South Lawndale,30,-87.71400000,41.83909100,122.0,123.0,133.0,151.0,163.0,165.0,64.2,64.0,76.9,87.0,94.0,95.5,59.0,54.0,57.0,55.0,53.0,52.0,31.1,28.5,34.2,32.4,30.8,30.9,129.0,123.0,125.0,125.0,121.0,113.0,64.3,59.5,65.9,65.6,63.7,60.5,255.0,255.0,255.0,258.0,269.0,262.0,130.9,131.7,144.7,148.4,155.8,152.8
Community area,Lower West Side,31,-87.66757000,41.85027700,89.0,83.0,80.0,84.0,73.0,91.0,84.9,78.8,79.2,84.9,71.9,89.6,26.0,27.0,27.0,27.0,26.0,25.0,22.8,24.1,25.2,25.8,24.9,23.7,67.0,76.0,75.0,77.0,68.0,66.0,61.5,69.3,71.1,73.8,65.6,62.3,183.0,179.0,167.0,169.0,152.0,159.0,171.5,166.7,160.9,162.6,144.4,151.3
Community area,Loop,32,-87.62519400,41.87888100,53.0,52.0,57.0,62.0,62.0,61.0,53.0,52.8,66.5,70.7,72.5,70.6,10.0,9.0,5.0,2.0,3.0,4.0,9.9,9.1,5.2,1.8,3.8,4.4,22.0,21.0,18.0,15.0,18.0,17.0,20.9,20.1,18.3,14.9,21.7,20.8,124.0,118.0,127.0,126.0,120.0,124.0,124.6,120.5,148.1,142.7,139.7,146.5
Community area,Near South Side,33,-87.62034400,41.85719600,64.0,54.0,67.0,78.0,84.0,86.0,75.5,63.4,82.0,100.1,106.9,111.0,22.0,16.0,12.0,9.0,11.0,11.0,24.9,19.2,16.0,11.4,13.6,14.4,49.0,43.0,45.0,41.0,45.0,48.0,53.8,48.6,53.8,48.2,53.6,59.1,141.0,124.0,142.0,159.0,162.0,154.0,163.0,144.9,174.9,199.0,201.5,191.6
Community area,Armour Square,34,-87.63397600,41.84208300,72.0,74.0,75.0,79.0,68.0,75.0,75.3,77.6,76.3,80.4,69.4,76.3,13.0,14.0,14.0,13.0,12.0,9.0,13.3,14.4,14.5,13.8,12.4,9.3,36.0,38.0,34.0,34.0,32.0,30.0,36.9,39.1,34.7,34.6,32.2,30.0,151.0,156.0,155.0,156.0,137.0,132.0,157.5,163.9,159.2,159.7,141.5,135.4
Community area,Douglas,35,-87.61868000,41.83512200,120.0,126.0,138.0,152.0,172.0,181.0,108.4,113.0,121.1,135.1,151.8,158.9,37.0,33.0,30.0,30.0,28.0,29.0,35.4,30.7,26.3,26.0,23.8,25.5,71.0,69.0,66.0,81.0,80.0,90.0,65.9,63.3,58.6,72.1,71.0,80.5,288.0,277.0,279.0,285.0,291.0,293.0,263.5,253.6,247.2,256.2,259.4,261.2
Community area,Oakland,36,-87.60321700,41.82375400,28.0,24.0,23.0,24.0,23.0,19.0,120.1,102.0,101.3,107.7,103.7,87.9,15.0,10.0,12.0,12.0,9.0,8.0,68.9,42.7,50.3,50.3,36.2,34.0,28.0,26.0,28.0,29.0,25.0,27.0,126.7,112.6,118.8,121.3,105.0,115.3,84.0,76.0,72.0,72.0,62.0,55.0,362.3,321.0,312.9,311.1,271.1,241.6
